,Track,Artist,Album,TrackID
127,Baby (Somethin's Happening),Peter Frampton,Greatest Hits,2673
128,"Baby, I Love Your Way",Peter Frampton,Greatest Hits,2675
129,All I Want To Be (Is By Your Side),Peter Frampton,Greatest Hits,2677
130,(Puting My) Heart On The Line,Peter Frampton,Greatest Hits,2679
131,"Signed, Sealed, Delivered I'm Yours",Peter Frampton,Greatest Hits,2681
132,I Can't Stand It No More,Peter Frampton,Greatest Hits,2683
133,Doobie Wah,Peter Frampton,Greatest Hits,2685
134,I'll Give You Monet,Peter Frampton,Greatest Hits,2687
135,I'm In You,Peter Frampton,Greatest Hits,2689
136,Do You Feel Like We Do,Peter Frampton,Greatest Hits,2691
137,The Changeling,The Doors,L. A. Woman,2693
138,Love Her Madly,The Doors,L. A. Woman,2695
139,Been Down So Long,The Doors,L. A. Woman,2697
140,Cars Hiss By My Window,The Doors,L. A. Woman,2699
141,L.A. Woman,The Doors,L. A. Woman,2701
142,L'america,The Doors,L. A. Woman,2703
143,Hyacinth House,The Doors,L. A. Woman,2705
144,Crawling King Snake,The Doors,L. A. Woman,2707
145,The Wasp (Texas Radio And The Big Beat),The Doors,L. A. Woman,2709
146,Riders On The Storm,The Doors,L. A. Woman,2711
147,"No Woman, No Cry (Live Version)",Bob Marley & The Wailers,Legend - The Best of Bob Marley and the Wailers (Deluxe Edition),2713
148,Could You Be Loved,Bob Marley & The Wailers,Legend - The Best of Bob Marley and the Wailers (Deluxe Edition),2715
149,Three Little Birds,Bob Marley & The Wailers,Legend - The Best of Bob Marley and the Wailers (Deluxe Edition),2717
150,Buffalo Soldier,Bob Marley & The Wailers,Legend - The Best of Bob Marley and the Wailers (Deluxe Edition),2719
151,"Get Up, Stand Up",Bob Marley,Legend - The Best of Bob Marley and the Wailers (Deluxe Edition),2721
152,Stir It Up (Original Version),Bob Marley,Legend - The Best of Bob Marley and the Wailers (Deluxe Edition),2723
153,Easy Skanking,Bob Marley & The Wailers,Legend - The Best of Bob Marley and the Wailers (Deluxe Edition),2725
154,One Love / People Get Ready,Bob Marley & The Wailers,Legend - The Best of Bob Marley and the Wailers (Deluxe Edition),2727
155,I Shot the Sheriff,Bob Marley,Legend - The Best of Bob Marley and the Wailers (Deluxe Edition),2729
156,Redemption Song,Bob Marley & The Wailers,Legend - The Best of Bob Marley and the Wailers (Deluxe Edition),2731
157,Jamming,Bob Marley & The Wailers,Legend - The Best of Bob Marley and the Wailers (Deluxe Edition),2733
158,Punky Reggae Party (Long Version),Bob Marley & The Wailers,Legend - The Best of Bob Marley and the Wailers (Deluxe Edition),2735
159,Baila Como Es,Tito Puente & Tito Puente and His Orchestra,Lo Mejor de Lo Mejor: Tito Puente,2737
160,Evil Ways,Santana,"Love Is The Song We Sing: ""The Man Can't Bust Our Music"" (Disc 4)",2739
161,Lemonaide Kid,KAK,"Love Is The Song We Sing: ""The Man Can't Bust Our Music"" (Disc 4)",2741
162,1982-A,The Sons Of Champlin,"Love Is The Song We Sing: ""The Man Can't Bust Our Music"" (Disc 4)",2743
163,Quicksilver Girl,Steve Miller Band,"Love Is The Song We Sing: ""The Man Can't Bust Our Music"" (Disc 4)",2745
164,Psychotic Reaction,Count Five,Love Is The Song We Sing: Suburbia (Disc 2),2747
165,Alabama Bound,The Charlatans,Love Is The Song We Sing: Summer Of Love (Disc 3),2749
166,Roll With It,Steve Miller Band,Love Is The Song We Sing: Summer Of Love (Disc 3),2751
167,Soul Sacrifice,Santana,Love Is The Song We Sing: Summer Of Love (Disc 3),2753
168,The Bells,The Loading Zone,Love Is The Song We Sing: Summer Of Love (Disc 3),2755
169,Cuz Cuz,Mac Dre,Mac Dre Presents: Thizz Nation Volume 7,2757
170,California,Phantom Planet,"Music from the O.C. Mix, Vol. 1",2759
171,F*** tha Police,N.W.A.,N.W.A.: Greatest Hits,2761
172,Let's Get Together,Dino Valenti,Nuggets : San Francisco - Love Is The Song We Sing: Seismic Rumbles,2763
173,I Feel Like I'm Fixin' To Die Rag,Country Joe & The Fish,Nuggets : San Francisco - Love Is The Song We Sing: Seismic Rumbles,2765
174,You Were On My Mind,We Five,Nuggets : San Francisco - Love Is The Song We Sing: Seismic Rumbles,2767
175,Number One,The Charlatans,Nuggets : San Francisco - Love Is The Song We Sing: Seismic Rumbles,2769
176,Can't Come Down,The Warlocks,Nuggets : San Francisco - Love Is The Song We Sing: Seismic Rumbles,2771
177,Don't Talk To Strangers,The Beau Brummels,Nuggets : San Francisco - Love Is The Song We Sing: Seismic Rumbles,2773
178,Anything,The Vejtables,Nuggets : San Francisco - Love Is The Song We Sing: Seismic Rumbles,2775
179,It's No Secret,Jefferson Airplane,Nuggets : San Francisco - Love Is The Song We Sing: Seismic Rumbles,2777
180,Johnny Was A Good Boy,The Mystery Trend,Nuggets : San Francisco - Love Is The Song We Sing: Seismic Rumbles,2779
181,Free Advice,The Great! Society,Nuggets : San Francisco - Love Is The Song We Sing: Seismic Rumbles,2781
182,Mr. Jones (Ballad Of A Thin Man),The Grass Roots,Nuggets : San Francisco - Love Is The Song We Sing: Seismic Rumbles,2783
183,Stranger In A Strange Land,Blackburn & Snow,Nuggets : San Francisco - Love Is The Song We Sing: Seismic Rumbles,2785
184,Who Do You Love (Demo),Quicksilver Messenger Service,Nuggets : San Francisco - Love Is The Song We Sing: Seismic Rumbles,2787
185,She's My Baby,The Mojo Men,Nuggets : San Francisco - Love Is The Song We Sing: Seismic Rumbles,2789
186,Coffee Cup,Wildflower,Nuggets : San Francisco - Love Is The Song We Sing: Seismic Rumbles,2791
187,Live Your Own Life,Family Tree,Nuggets : San Francisco - Love Is The Song We Sing: Seismic Rumbles,2793
188,Fat City,The Sons Of Champlin,Nuggets : San Francisco - Love Is The Song We Sing: Seismic Rumbles,2795
189,Human Monkey,The Frantics,Nuggets : San Francisco - Love Is The Song We Sing: Seismic Rumbles,2797
190,Bye Bye Bye (Warner Bros. Single Version),The Tikis,Nuggets : San Francisco - Love Is The Song We Sing: Seismic Rumbles,2799
191,Section 43,Country Joe & The Fish,Nuggets : San Francisco - Love Is The Song We Sing: Seismic Rumbles,2801
192,Hello Hello,Sopwith Camel,Nuggets : San Francisco - Love Is The Song We Sing: Seismic Rumbles,2803
193,Get a Job,Silhouettes,"Original Solid Gold Hits, Volume 2",2805
194,Duke of Earl,Gene Chandler,"Original Solid Gold Hits, Volume 2",2807
195,Canon In D Major,Various Artists,Quiet Moments,2809
196,Moonlight Sonata,Various Artists,Quiet Moments,2811
197,Arobesque No.1,Various Artists,Quiet Moments,2813
198,"Nocturne (E Flat, Op.9, No.2)",Various Artists,Quiet Moments,2815
199,Liebestraum No.3,Various Artists,Quiet Moments,2817
200,Clare De Lune (Piano),Various Artists,Quiet Moments,2819
201,"Intermezzo (Op.118, No.2)",Various Artists,Quiet Moments,2821
202,Air On A G String,Various Artists,Quiet Moments,2823
203,"Nocturne (D Flat, Op. 27, No. 2)",Various Artists,Quiet Moments,2825
204,"Pathetique (Sonata, Op. 13, Adagio)",Various Artists,Quiet Moments,2827
205,Dreadlocks in Moonlight,"Lee ""Scratch"" Perry","Reggae Greats: Lee ""Scratch"" Perry",2829
206,It Noh Funny,Linton Kwesi Johnson,Reggae Greats: Linton Kwesi Johnson,2831
207,Mick Jagger's Introduction Of The Rock And Roll Circus,Mick Jagger,Rolling Stones Rock And Roll Circus [Live],2833
208,Entry Of The Gladiators,The Rolling Stones,Rolling Stones Rock And Roll Circus [Live],2835
209,Mick Jagger's Introduction Of Jethro Tull,Mick Jagger,Rolling Stones Rock And Roll Circus [Live],2837
210,Song For Jeffrey,Jethro Tull,Rolling Stones Rock And Roll Circus [Live],2839
211,Keith Richard's Introduction Of The Who,Keith Richard,Rolling Stones Rock And Roll Circus [Live],2841
212,A Quick One While He's Away,The Who,Rolling Stones Rock And Roll Circus [Live],2843
213,Over The Waves,Juventino Rosas,Rolling Stones Rock And Roll Circus [Live],2845
214,Ain't That A Lot Of Love,Taj Mahal,Rolling Stones Rock And Roll Circus [Live],2847
215,Charlie Watt's Intro Of Marianne Faithful,Charlie Watts,Rolling Stones Rock And Roll Circus [Live],2849
216,Something Better,Marianne Faithfull,Rolling Stones Rock And Roll Circus [Live],2851
217,Mick Jagger & John Lennon On Dirty Mac,Mick Jagger & John Lennon,Rolling Stones Rock And Roll Circus [Live],2853
218,Yer Blues,The Dirty Mac,Rolling Stones Rock And Roll Circus [Live],2855
219,Whole Lotta Yoko,Yoko Ono And Ivry Gitlis With The Dirty Mac,Rolling Stones Rock And Roll Circus [Live],2857
220,Jumping Jack Flash (With John Lennon's Introduction),The Rolling Stones (Introduced By John Lennon),Rolling Stones Rock And Roll Circus [Live],2859
221,Parachute Woman,The Rolling Stones,Rolling Stones Rock And Roll Circus [Live],2861
222,No Expectations,The Rolling Stones,Rolling Stones Rock And Roll Circus [Live],2863
223,You Can't Always Get What You Want,The Rolling Stones,Rolling Stones Rock And Roll Circus [Live],2865
224,Sympathy For The Devil,The Rolling Stones,Rolling Stones Rock And Roll Circus [Live],2867
225,Salt Of The Earth,The Rolling Stones,Rolling Stones Rock And Roll Circus [Live],2869
226,California Girls,The Beach Boys,Sounds Of Summer,2871
227,I Get Around,The Beach Boys,Sounds Of Summer,2873
228,Surfin' Safari,The Beach Boys,Sounds Of Summer,2875
229,Surfin' U.S.A.,The Beach Boys,Sounds Of Summer,2877
230,"Fun, Fun, Fun",The Beach Boys,Sounds Of Summer,2879
231,Surfer Girl,The Beach Boys,Sounds Of Summer,2881
232,Don't Worry Baby (Single Version),The Beach Boys,Sounds Of Summer,2883
233,Little Deuce Coupe,The Beach Boys,Sounds Of Summer,2885
234,Shut Down,The Beach Boys,Sounds Of Summer,2887
235,"Help Me, Rhonda (Single Version)",The Beach Boys,Sounds Of Summer,2889
236,Be True To Your School (Single Version),The Beach Boys,Sounds Of Summer,2891
237,When I Grow Up (To Be A Man),The Beach Boys,Sounds Of Summer,2893
238,In My Room,The Beach Boys,Sounds Of Summer,2895
239,God Only Knows,The Beach Boys,Sounds Of Summer,2897
240,Sloop John B,The Beach Boys,Sounds Of Summer,2899
241,Woudn't It Be Nice,The Beach Boys,Sounds Of Summer,2901
242,Getcha Back,The Beach Boys,Sounds Of Summer,2903
243,Come Go With Me,The Beach Boys,Sounds Of Summer,2905
244,Rock And Roll Music,The Beach Boys,Sounds Of Summer,2907
245,"Dance, Dance, Dance",The Beach Boys,Sounds Of Summer,2909
246,Barbara Ann (Single Version),The Beach Boys,Sounds Of Summer,2911
247,Do You Wanna Dance?,The Beach Boys,Sounds Of Summer,2913
248,Heroes And Villains,The Beach Boys,Sounds Of Summer,2915
249,Good Timin',The Beach Boys,Sounds Of Summer,2917
250,Kokomo,The Beach Boys,Sounds Of Summer,2919
251,Do It Again,The Beach Boys,Sounds Of Summer,2921
252,Wild Honey,The Beach Boys,Sounds Of Summer,2923
253,Darlin',The Beach Boys,Sounds Of Summer,2925
254,I Can Hear Music,The Beach Boys,Sounds Of Summer,2927
255,Good Vibrations,The Beach Boys,Sounds Of Summer,2929
256,Badge,Cream,Strange Brew: The Very Best of Cream,2931
257,Sunshine Of Your Love,Cream,Strange Brew: The Very Best of Cream,2933
258,Crossroads,Cream,Strange Brew: The Very Best of Cream,2935
259,White Room,Cream,Strange Brew: The Very Best of Cream,2937
260,Born Under A Bad Sign,Cream,Strange Brew: The Very Best of Cream,2939
261,Swlabr,Cream,Strange Brew: The Very Best of Cream,2941
262,Strange Brew,Cream,Strange Brew: The Very Best of Cream,2943
263,Anyone for Tennis (The Savage Seven Theme),Cream,Strange Brew: The Very Best of Cream,2945
264,I Feel Free,Cream,Strange Brew: The Very Best of Cream,2947
265,Politician,Cream,Strange Brew: The Very Best of Cream,2949
266,Tales Of Brave Ulysees,Cream,Strange Brew: The Very Best of Cream,2951
267,Spoonful,Cream,Strange Brew: The Very Best of Cream,2953
268,Eye of the Tiger,Survivor,Survivor: Greatest Hits,2955
269,I just wanna be a drummer,Heavy Rock,Techno Party,2957
270,Spread Love,Fight Club Featuring Laurent Konrad,Techno Party,2959
271,Satisfaction,Benny Benassi Presents The Biz,Techno Party,2961
272,"Rock your Body, Rock",Ferry Corsten,Techno Party,2963
273,Poison,Groove Coverage,Techno Party,2965
274,Plastic Dreams,Jay Dee,Techno Party,2967
275,Traffic,DJ Tiësto,Techno Party,2969
276,Music is Life,Dirt Devils,Techno Party,2971
277,Sound of Arena,KK System,Techno Party,2973
278,Shake Ya Shimmy,Porn Kings Vs Flip Fill,Techno Party,2975
279,Raumpatrouille,Kosmonova,Techno Party,2977
280,Put your Hands in the Air,Belushi,Techno Party,2979
281,Go Insane,DJ Isaac,Techno Party,2981
282,Tell Me Were you Are,AGO,Techno Party,2983
283,Classical Gas,Pepe Featuring Bernd Schoenhart,Techno Party,2985
284,Maria (I love it Loud),Scooter Vs. Marc Acardipane & Dick Rules,Techno Party,2987
285,Bad to the Bone,George Thorogood & The Destroyers,The Baddest of George Thorogood and the Destroyers,2989
286,I Got a Woman,Ray Charles,The Best of Ray Charles - The Atlantic Years,2991
287,Go Girl (feat. Trina & Young Boss),Pitbull,The Boatlift,2993
288,Tokyo Drift,Teriyaki Boyz,The Fast and the Furious: Tokyo Drift,2995
289,Push It,Salt-N-Pepa,The Hip Hop Box,2997
290,Sensimella,Barrington Levi,Trojan Ganja Reggae (Box Set),2999
291,Bust a Move,Young MC,Waxing Off: Delicious Vinyl's Greatest Hits,3001
292,Flying High,Country Joe & The Fish,Electric Music for the Mind and Body,3003
293,Not So Sweet Martha Lorraine,Country Joe & The Fish,Electric Music for the Mind and Body,3005
294,Death Sound,Country Joe & The Fish,Electric Music for the Mind and Body,3007
295,Porpoise Mouth,Country Joe & The Fish,Electric Music for the Mind and Body,3009
296,Section 43,Country Joe & The Fish,Electric Music for the Mind and Body,3011
297,Super Bird,Country Joe & The Fish,Electric Music for the Mind and Body,3013
298,Sad and Lonely Times,Country Joe & The Fish,Electric Music for the Mind and Body,3015
299,Love,Country Joe & The Fish,Electric Music for the Mind and Body,3017
300,Bass Strings,Country Joe & The Fish,Electric Music for the Mind and Body,3019
301,Masked Marauder,Country Joe & The Fish,Electric Music for the Mind and Body,3021
302,Grace,Country Joe & The Fish,Electric Music for the Mind and Body,3023
303,I Feel Like I'm Fixin to Die Rag,Country Joe & The Fish,I Feel Like I'm Fixin' to Die,3025
304,Who Am I,Country Joe & The Fish,I Feel Like I'm Fixin' to Die,3027
305,Pats Song,Country Joe & The Fish,I Feel Like I'm Fixin' to Die,3029
306,Rock Coast Blues,Country Joe & The Fish,I Feel Like I'm Fixin' to Die,3031
307,Magoo,Country Joe & The Fish,I Feel Like I'm Fixin' to Die,3033
308,Janis,Country Joe & The Fish,I Feel Like I'm Fixin' to Die,3035
309,Thought Dream,Country Joe & The Fish,I Feel Like I'm Fixin' to Die,3037
310,Thursday,Country Joe & The Fish,I Feel Like I'm Fixin' to Die,3039
311,Eastern Jam,Country Joe & The Fish,I Feel Like I'm Fixin' to Die,3041
312,Colors for Susan,Country Joe & The Fish,I Feel Like I'm Fixin' to Die,3043
313,Strange Brew,Cream,Disraeli Gears,3045
314,Sunshine Of Your Love,Cream,Disraeli Gears,3047
315,World Of Pain,Cream,Disraeli Gears,3049
316,Dance The Night Away,Cream,Disraeli Gears,3051
317,Blue Condition,Cream,Disraeli Gears,3053
318,Tales Of Brave Ulysses,Cream,Disraeli Gears,3055
319,Swlabr,Cream,Disraeli Gears,3057
320,We're Going Wrong,Cream,Disraeli Gears,3059
321,Outside Woman Blues,Cream,Disraeli Gears,3061
322,Take It Back,Cream,Disraeli Gears,3063
323,Mother's Lament,Cream,Disraeli Gears,3065
324,Susie Q,Creedence Clearwater Revival,Chronicle: 20 Greatest Hits (24-Karat Gold Disc),3067
325,I Put a Spell On You,Creedence Clearwater Revival,Chronicle: 20 Greatest Hits (24-Karat Gold Disc),3069
326,Proud Mary,Creedence Clearwater Revival,Chronicle: 20 Greatest Hits (24-Karat Gold Disc),3071
327,Bad Moon Rising,Creedence Clearwater Revival,Chronicle: 20 Greatest Hits (24-Karat Gold Disc),3073
328,Lodi,Creedence Clearwater Revival,Chronicle: 20 Greatest Hits (24-Karat Gold Disc),3075
329,Green River,Creedence Clearwater Revival,Chronicle: 20 Greatest Hits (24-Karat Gold Disc),3077
330,Commotion,Creedence Clearwater Revival,Chronicle: 20 Greatest Hits (24-Karat Gold Disc),3079
331,Down On the Corner,Creedence Clearwater Revival,Chronicle: 20 Greatest Hits (24-Karat Gold Disc),3081
332,Fortunate Son,Creedence Clearwater Revival,Chronicle: 20 Greatest Hits (24-Karat Gold Disc),3083
333,Travelin' Band,Creedence Clearwater Revival,Chronicle: 20 Greatest Hits (24-Karat Gold Disc),3085
334,Who'll Stop the Rain,Creedence Clearwater Revival,Chronicle: 20 Greatest Hits (24-Karat Gold Disc),3087
335,Up Around the Bend,Creedence Clearwater Revival,Chronicle: 20 Greatest Hits (24-Karat Gold Disc),3089
336,Run Through the Jungle,Creedence Clearwater Revival,Chronicle: 20 Greatest Hits (24-Karat Gold Disc),3091
337,Lookin' Out My Back Door,Creedence Clearwater Revival,Chronicle: 20 Greatest Hits (24-Karat Gold Disc),3093
338,Long As I Can See the Light,Creedence Clearwater Revival,Chronicle: 20 Greatest Hits (24-Karat Gold Disc),3095
339,I Heard It Through the Grapevine,Creedence Clearwater Revival,Chronicle: 20 Greatest Hits (24-Karat Gold Disc),3097
340,Have You Ever Seen the Rain?,Creedence Clearwater Revival,Chronicle: 20 Greatest Hits (24-Karat Gold Disc),3099
341,Hey Tonight,Creedence Clearwater Revival,Chronicle: 20 Greatest Hits (24-Karat Gold Disc),3101
342,Sweet Hitch-Hiker,Creedence Clearwater Revival,Chronicle: 20 Greatest Hits (24-Karat Gold Disc),3103
343,Someday Never Comes,Creedence Clearwater Revival,Chronicle: 20 Greatest Hits (24-Karat Gold Disc),3105
344,Jah Rastafari,Culture,International Herb,3107
345,Natty Dread Taking Over,Culture,Two Sevens Clash,3109
346,Insane In the Brain (Explicit Album Version),Cypress Hill,Black Sunday,3111
347,Hits from the Bong,Cypress Hill,Black Sunday,3113
348,Smoke Dope and Rap,Andre Nickatina,T.C. & The Enhancer's Producer's Cuts,3115
